graph,graph-main,null,Revenu de base ,#616061,Quel impact sur la société ? ,#2469CE,graph-societe,Quel impact sur le travail ?,#3B9D2B,graph-travail,Quel montant ?,#D9B929,graph-montant,Comment le financer ?,#DE6B25,graph-financement,,,,,,,
data,data-dia,graph-montant,La DIA (Dotation Inconditionnelle d’Autonomie),#D9B929,"Le Projet Pour La Décroissance propose de verser à tous les citoyens une Dotation Inconditionnelle d’Autonomie, qui serait seulement en partie monétaire. Le reste serait versé sous forme d’un accès gratuit aux biens essentiels, tels que l’eau, l’énergie, la santé et les transports en commun. Il existerait des limites dans la proportion de services gratuits : il y aurait un nombre de m3 d’eau offert par mois pour boire et pour l’usage domestique, mais pas suffisamment pour avoir une piscine privée.",Vincent Liegey,img/vincent_liegey.png,"« Ce revenu devrait être partiellement démonétisé comme nous le proposons avec la Dotation Inconditionnelle d’Autonomie (DIA), via des accès directs à des ressources telles que l’eau ».",,,,,,,,,,,,,,,
data,data-1500,graph-montant,1500€,#D9B929,"Cette somme correspond à la proposition de Bernard Friot. De par sa singularité et son impact sur la controverse, la position de M. Friot mérite qu’on s’y attarde. Elle propose une révolution dans notre conception de la vie et veut mettre fin à la vision capitaliste du travail en encadrant les inégalités de salaire. L’emploi ne serait plus au centre de notre vie, les citoyens auraient alors plus de temps pour se consacrer à leur épanouissement personnel.",Bernard Friot,img/bernard_friot.png,"Il a préconisé en premier lieu un montant minimum de 2000 euros par mois pour le salaire à vie, avant de proposer 1500 euros. Ce montant est plus élevé que tous les autres présentés, pour la raison que ce revenu se substitue à tous les autres revenus et qu’il serait mis en place dans un contexte d’un capitalisme sans profit. Ainsi, si le salaire à vie serait perçu de manière universelle, le montant de celui-ci serait différencié et déterminé par le niveau de compétence des citoyens. La mise en place du salaire à vie s’accompagnerait, pour Friot, d’un encadrement très strict des inégalités de revenus, en posant un toit de 6000 euros aux revenus les plus abondants. ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
graph,graph-financement,graph-main,Comment le financer ?,#DE6B25,TVA,#DE6B25,data-tva,Restructuration des aides sociales,#DE6B25,data-restruct,Taxe pollution,#DE6B25,data-pollution,Taxation des entreprises,#DE6B25,data-taxe-entreprise,Création monétaire,#DE6B25,data-monaie,,,,
data,data-tva,graph-financement,TVA,#DE6B25,"La TVA est un impôt indirect sur la consommation. Une TVA élevée permet aux entreprises d’avoir des charges sociales plus basses et d’être plus compétitives, ce qui plaît aux libéraux. Il est également plus simple à prélever que l’impôt sur le revenu. À l’opposé, il est décrit par les acteurs plus à gauche comme une mesure injuste, puisque la TVA est payée par tout le monde au même taux et ce quel que soit le revenu.",Philippe Van Parijs,img/philippe_van_parijs.png,"« La TVA est le plus européanisé des impôts, c’est donc à lui de financer le revenu de base ».",Yoland Bresson,img/yoland_bresson.png,"Il préconise le système des « 15-15-15 », soit 15% de tous les revenus prélevés pour financer le revenu d’existence, 15% de TVA sociale en vue de financer les dépenses de l’Etat et 15% de flat-tax (soit une taxe comme la TVA ou la CSG, qui n’est pas progressive) sur les revenus du travail et du patrimoine afin de financer la Sécurité Sociale.",Baptiste Mylondo,img/baptiste_mylondo.png,La TVA constitue selon lui un impôt dégressif puisque les plus riches peuvent épargner une plus grande partie de leur revenu et participeraient donc dans une moindre mesure au financement du Revenu de Base. C’est pour cela que Mylondo propose d’autres manières de financer le revenu de base.,,,,,,,,,
data,data-restruct,graph-financement,Restructuration des aides sociales,#DE6B25,Les aides sociales permettent d’aider les personnes à faibles revenus. Elles sont régulièrement décriées car elles sont considérées comme complexes et intrusives pour les obtenir. Certaines personnes proposent donc le revenu de base pour les restructurer et les simplifier. D’autres proposent également de supprimer ces aides sociales et de les remplacer totalement par le revenu de base.,Philippe Van Parijs,img/philippe_van_parijs.png,"Ce montant ne s’ajoute pas aux prestations sociales, il constitue la couche inférieure des revenus. Par exemple si aujourd’hui un chômeur perçoit 800€ de prestations, avec le revenu de base il aura 200€ sans conditions à quoi s’ajouteront 600€ d’aides.",Dominique De Villepin,img/dominique_de_villepin.png,"Les 850€ du revenu citoyen « se substituent aux allocations existantes, peut-être même les allocations de rentrée scolaire et les allocations familiales ».",Parti Chrétien-Démocrate ,img/christine_boutin.png,"Pour Christine Boutin, il faut supprimer « les centaines d’allocations auxquelles plus personne ne comprend rien ».",Mona Chollet,img/mona_chollet.png,"Le revenu de base doit être « un complément de la protection sociale existante et pas comme quelque chose qui est censé la remplacer ». Elle ajoute : « si on se retrouve avec un revenu de base qui remplace toute la protection sociale existante et qui, en plus, se révèle insuffisant pour vivre, on sera face à une catastrophe absolue ».",Baptiste Mylondo,img/baptiste_mylondo.png,"Le revenu de base pourrait être financé grâce à la suppression de certaines prestations, en combinant les minimas sociaux (RSA, Allocation Spécifique de Solidarité, les bourses étudiantes, les allocations familiales, les aides au logement et les subventions à l’emploi), mais sans éliminer les retraites ni le droit à la santé gratuite.",Europe Ecologie Les Verts ,img/eelv.png,« Le revenu de base ne peut pas se penser sans une réforme fiscale permettant et rationalisant son financement ; il doit s’inscrire dans une réorganisation collective de notre société ». EELV est pour l’individualisation de l’impôt sur le revenu et la suppression des quotients familial et conjugal.
data,data-pollution,graph-financement,Taxe pollution,#DE6B25,"Avec le progrès technologique, le taux d’émission de pollution augmente dangereusement et ce sont les générations futures qui en subiront les conséquences. Pour que la Terre reste un lieu vivable, il faut réduire la pollution. En imposant une taxe aux plus grands pollueurs, certains acteurs pensent ainsi limiter la dégradation de l’environnement, en finançant en même temps un revenu de base.",Philippe Van Parijs,img/philippe_van_parijs.png,"« Certains prix doivent être considérablement augmentés pour refléter ce qu’on appelle les externalités négatives et pour protéger les intérêts légitimes des enfants à naître. Par exemple, une taxe carbone suffisamment élevée pour garder les émissions totales en dessous du plafond à ne pas dépasser ».",Europe Ecologie Les Verts ,img/eelv.png,« Taxer la pollution plutôt que les ménages ».,,,,,,,,,,,,
data,data-taxe-entreprise,graph-financement,Taxation des entreprises,#DE6B25,La proposition la plus radicale pour ce qui concerne la taxation des entreprises est sans doute celle proposé par Bernard Friot et le Réseau Salariat. Éliminer le profit capitaliste impliquerait de collectiviser la production industrielle.,Bernard Friot,img/bernard_friot.png,"Il propose une disparition complète du profit en taxant à 100% toutes les entreprises et tous les revenus excepté le salaire à vie. La valeur ajoutée des entreprises serait par ce système entièrement socialisée, en étant recueillie avant d’être redistribuée à tous les travailleurs en fonction de leurs qualifications.",,,,,,,,,,,,,,,
data,data-monaie,graph-financement,Création monétaire,#DE6B25,"Un revenu de base pourrait être financé par la création monétaire, c’est-à-dire que les banques n’auraient alors plus la possibilité d’offrir du crédit arbitrairement, mais seulement dans le cadre du revenu de base. Le volume de la masse monétaire serait alors plus stable.  <br /> L’économiste Baptiste Mylondo, le professeur Jean Marc Ferry et Frédéric Bosqué, cofondateur du MFRB, sont en faveur de cette politique.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
graph,graph-travail,graph-main,Quel impact sur le travail ?,#3B9D2B,Capitalisme,#3B9D2B,data-capitalisme,Mutation travail,#3B9D2B,data-mutation,Rapport de force employés/employeurs,#3B9D2B,data-force,,,,,,,,,,
data,data-capitalisme,graph-travail,Capitalisme,#3B9D2B,"Bien que les personnalités de droite reconnaissent que l’instauration d’un revenu de base modifierait l’économie (plus ou moins radicalement, suivant les différentes propositions), elles voient néanmoins une continuité dans la nature de cette économie, qui resterait une économie du capital. <br/> Dans les propositions de gauche, la nature de la transformation voulue dépend du mode de financement du revenu de base. L’impôt, qui finance la plus grande partie des propositions de gauche avec un montant élevé, nécessite le profit et donc l’encourage d’une certaine manière, or certains acteurs très à gauche affirment qu’on ne peut sortir du capitalisme sans subvertir le profit.",Vincent Liegey,img/vincent_liegey.png,"« La Croissance est un imaginaire construit dans la continuité des lumières et la croyance aux progrès techniques et énergétiques infinis, inséparablement liés aux progrès sociaux et humains ».",Yoland Bresson,img/yoland_bresson.png,"Pour lui, le revenu d’existence permet la transition vers de nouveaux types d’emplois, cohérents avec les évolutions actuelles de l’économie.",Bernard Friot,img/bernard_friot.png,"La proposition de Bernard Friot refuse de se considérer un « revenu de base », d’où son nom de « salaire à vie ». Il s’agirait de payer tous les citoyens entre 1500 et 6000 selon les compétences de chacun, en généralisant la condition de fonctionnaire à tous et en éliminant le profit capitaliste, pour assurer un niveau de vie digne à tout un chacun. ",,,,,,,,,
data,data-mutation,graph-travail,Mutation travail,#3B9D2B,"Aujourd’hui on voit l’apparition de nouvelles formes d’emploi liées au développement des nouvelles technologies, dont Uber est l’exemple le plus marquant. Ces technologies permettent de s’adapter à la demande beaucoup plus finement et nécessitent donc des formes d’emploi qui soient plus flexibles, ce que permettrait un revenu de base en protégeant les travailleurs « à la tâche » des conséquences de la précarité.",Philippe Van Parijs,img/philippe_van_parijs.png,"« Dans les pays riches, toute personne qui ne gagne pas assez par son travail recevrait au moins 200€ sous forme de prestations. Ainsi, l’euro-dividende ne modifierait pas l’incitation à travailler dans ces pays. Dans d’autres endroits, comme en Grèce, où le revenu minimum garanti n’existe pas, cela ferait une différence : cela augmenterait le revenu des personnes qui n’en ont pas du tout ». ",Bernard Friot,img/bernard_friot.png,"La proposition de Bernard Friot marque une distinction entre travail et emploi. Il vise à rattacher le salaire au travail, qu’il définit de manière plus générale que le travail rémunéré tel que nous le connaissons aujourd’hui. Le travail ne se réduit pas pour lui à l’emploi mais comprend le bénévolat, l’associatif, les études, la participation à la vie publique. ",Europe Ecologie Les Verts ,img/eelv.png,"« Le revenu de base inconditionnel peut aider les individus à refuser des conditions de travail trop pénibles et peu valorisantes, tout en permettant à la société de prendre conscience de la dimension sociale du travail ».",Yoland Bresson,img/yoland_bresson.png,"Du fait de la robotisation et de la numérisation, l’économie devient immatérielle. Cela fragilise la norme de l’emploi que représente le CDI et précarise les travailleurs. Yoland Bresson souhaite libérer les individus de l’impératif de l’emploi à travers un revenu d’existence. Pour lui le revenu d’existence permet la transition vers de nouveaux types d’emplois, cohérents avec les évolutions actuelles de l’économie.",,,,,,
data,data-force,graph-travail,Rapport de force employés/employeurs,#3B9D2B,"Cette question est intimement liée à celle du montant, en effet il faut distinguer les montants insuffisants pour vivre de ceux qui sont suffisants. Il y a donc une limite entre les deux à fixer, que certains auteurs choisissent arbitrairement comme celle du seuil de pauvreté. Si le montant est insuffisant et qu’il s’accompagne d’une déréglementation du travail, alors les employeurs auront plus de flexibilité dans la gestion de leurs ressources humaines et les employés moins de marge de négociation car leur emploi leur sera nécessaire. Si le montant est suffisant, alors les employés auront plus de marge de négociation car ils pourront se permettre de ne pas travailler, s’ils le préfèrent à travailler dans de mauvaises conditions.",André Gorz,img/andre_gorz.png,"« Un revenu à vie aura toutefois un sens et une fonction foncièrement différent selon que ce revenu est suffisant ou insuffisant pour protéger de la misère [...] un revenu de base inférieur au minimum vital a pour fonction de forcer les chômeurs à accepter des emplois au rabais, pénibles, déconsidérés [...] L’allocation à tout citoyen d’un revenu social suffisant relève d’une logique inverse : elle [vise] à les affranchir des contraintes du marché du travail ».",Philippe Van Parijs,img/philippe_van_parijs.png,"« Une allocation accordée aux travailleurs (potentiels), indépendamment du fait qu’ils soient enclins ou non à accepter un travail, augmente leur pouvoir de négociation et ainsi de refuser des emplois mal payés et sans intérêt intrinsèque ».",,,,,,,,,,,,
